Rank,country,country_code,Gold,Silver,Bronze,Total
1,United States,USA,48,26,31,105
2,China,CHN,39,31,22,92
3,Great Britain,GBR,29,18,18,65
4,Russia,RUS,18,20,26,64
5,South Korea,KOR,13,9,9,31
6,Germany,GER,11,20,13,44
7,France,FRA,11,11,13,35
8,Australia,AUS,8,15,12,35
9,Italy,ITA,8,9,11,28
10,Hungary,HUN,8,4,6,18
11,Japan,JPN,7,14,17,38
12,Iran,IRN,7,5,1,13
13,Netherlands,NED,6,6,8,20
14,New Zealand,NZL,6,2,5,13
15,Ukraine,UKR,5,4,10,19
16,Cuba,CUB,5,3,7,15
17,Spain,ESP,4,10,6,20
18,Jamaica,JAM,4,5,4,13
19,Czech Republic,CZE,4,4,3,11
20,South Africa,RSA,4,1,1,6
21,North Korea,PRK,4,0,2,6
22,Brazil,BRA,3,5,9,17
23,Kazakhstan,KAZ,3,2,6,11
24,Poland,POL,3,2,6,11
25,Ethiopia,ETH,3,2,3,8
26,Croatia,CRO,3,1,2,6
27,Canada,CAN,2,6,10,18
28,Belarus,BLR,2,5,3,10
29,Kenya,KEN,2,4,7,13
30,Denmark,DEN,2,4,3,9
31,Romania,ROU,2,4,1,7
32,Azerbaijan,AZE,2,2,5,9
33,Switzerland,SUI,2,2,0,4
34,Norway,NOR,2,1,1,4
35,Lithuania,LTU,2,0,3,5
36,Tunisia,TUN,2,0,1,3
37,Sweden,SWE,1,4,3,8
38,Colombia,COL,1,3,5,9
39,Mexico,MEX,1,3,4,8
40,Georgia,GEO,1,2,3,6
41,Ireland,IRL,1,1,4,6
42,Argentina,ARG,1,1,2,4
43,Serbia,SRB,1,1,2,4
44,Slovenia,SLO,1,1,2,4
45,Trinidad and Tobago,TTO,1,1,2,4
46,Turkey,TUR,1,1,1,3
47,Dominican Republic,DOM,1,1,0,2
48,Chinese Taipei,TPE,1,0,1,2
49,Latvia,LAT,1,0,1,2
50,Algeria,ALG,1,0,0,1
51,Bahamas,BAH,1,0,0,1
52,Bahrain,BRN,1,0,0,1
53,Grenada,GRN,1,0,0,1
54,Uganda,UGA,1,0,0,1
55,Venezuela,VEN,1,0,0,1
56,Egypt,EGY,0,3,1,4
57,India,IND,0,2,4,6
58,Mongolia,MGL,0,2,3,5
59,Thailand,THA,0,2,2,4
60,Bulgaria,BUL,0,2,1,3
61,Finland,FIN,0,2,1,3
62,Indonesia,INA,0,2,1,3
63,Slovakia,SVK,0,1,3,4
64,Belgium,BEL,0,1,2,3
65,Armenia,ARM,0,1,1,2
66,Estonia,EST,0,1,1,2
67,Malaysia,MAS,0,1,1,2
68,Puerto Rico,PUR,0,1,1,2
69,Qatar,QAT,0,1,1,2
70,Botswana,BOT,0,1,0,1
71,Cyprus,CYP,0,1,0,1
72,Gabon,GAB,0,1,0,1
73,Guatemala,GUA,0,1,0,1
74,Montenegro,MNE,0,1,0,1
75,Portugal,POR,0,1,0,1
76,Uzbekistan,UZB,0,0,3,3
77,Greece,GRE,0,0,2,2
78,Singapore,SGP,0,0,2,2
79,Afghanistan,AFG,0,0,1,1
80,Cameroon,CMR,0,0,1,1
81,Hong Kong,HKG,0,0,1,1
82,Kuwait,KUW,0,0,1,1
83,Morocco,MAR,0,0,1,1
84,Saudi Arabia,KSA,0,0,1,1
85,Tajikistan,TJK,0,0,1,1
86,Vietnam,VIE,0,0,1,1
